Coin,trades,active_days,volume_usd,gross_pnl,fees,net_pnl,net_pnl_per_1k_volume
@107,29992,149,55760858.63,2783912.919016,5953.22478799,2777959.69422801,49.819169978373225
HYPE,68005,147,141990206.05,1948484.599761,25361.93044,1923122.669321,13.544051542849353
SOL,10691,160,125074752.06,1639555.927506,27956.304402,1611599.623104,12.885091487776002
ETH,11158,329,118280994.07,1319978.838852,23091.303645,1296887.535207,10.964462595228849
BTC,26064,286,644232116.63,868044.732638,139224.226804,728820.505834,1.1313011056426132
MELANIA,4428,76,7040710.45,390351.069856,1010.388542,389340.681314,55.298493536827664
ENA,990,66,1625400.5,217329.503554,276.427878,217053.075676,133.53821145988329
SUI,1979,139,7781167.59,199268.834922,2003.206129,197265.628793,25.35167460555878
ZRO,1239,23,1213825.42,183777.783689,234.069003,183543.714686,151.21096630683513
DOGE,826,53,2452103.46,147543.156534,522.224289,147020.932245,59.95706732741204
PURR/USDC,2774,135,1642418.69,75261.058019,1844.556381,73416.501638,44.700235137972044
AIXBT,819,45,1273650.18,73712.168895,353.555758,73358.613137,57.59714424646805
BERA,1054,19,2056756.0,73689.746587,357.108461,73332.638126,35.654515229808496
USUAL,598,40,962189.37,69631.943237,176.989257,69454.95398,72.18428736122911
EIGEN,330,32,417781.52999999997,65030.852352,57.578273,64973.274079,155.5197379812363
AVAX,202,39,400115.48,48297.313845000004,104.733294,48192.580551,120.44667842143973
ETHFI,311,24,769716.13,43929.006074,253.150573,43675.855501,56.742809197723325
JUP,644,43,1496950.4,42909.223316999996,488.149084,42421.074233,28.338329869179365
kBONK,1647,66,2995780.58,35551.245276,266.038007,35285.207269,11.778301623478713
JELLY,992,18,2193971.31,35193.716244,341.111631,34852.604613,15.88562459962159
PURR,1198,100,1098592.1,26766.355202,137.889422,26628.46578,24.238719521103416
@85,132,14,49034.5,26506.140009,12.27432479,26493.86568421,540.3107135631036
ONDO,1463,41,1726582.09,24570.824905,172.208685,24398.61622,14.131164895843439
WLD,1983,117,2792841.63,22281.920156,621.7480410000001,21660.172115,7.755603426392639
ANIME,660,22,590255.83,21317.258031,153.981422,21163.276609,35.85441351591564
ZEREBRO,769,31,1320048.45,21166.925278,196.170378,20970.7549,15.886352428958194
LAYER,478,7,1060068.85,20496.4351,259.913192,20236.521908,19.089818466036427
VIRTUAL,570,37,1361590.25,19544.481508,400.023245,19144.458263,14.06036673881882
kPEPE,1730,77,2450800.07,18676.997284,425.37706000000003,18251.620224,7.447208953278674
TAO,1082,26,1693805.35,16817.94047,258.256182,16559.684288,9.776615883283164
MOODENG,107,12,161956.47,16167.348348000001,56.343802000000004,16111.004546,99.47737528485277
ME,488,28,316205.37,16011.899938,43.735331,15968.164606999999,50.49934669673699
PNUT,586,13,961622.8200000001,14844.964381,228.755043,14616.209338,15.199524214701976
NEAR,223,18,813006.76,13957.535979,34.420961,13923.115018,17.12546033196575
RNDR,176,9,619792.36,13566.322558,-0.02604099999999998,13566.348598999999,21.88853795971283
TIA,322,47,764851.23,13021.498254,175.741148,12845.757106,16.79510550829604
@151,324,8,574271.34,11583.842769,58.240347208,11525.602421792,20.069959301454958
SEI,235,19,1266275.0,9957.777466,355.51860999999997,9602.258856,7.583075442538154
ARB,147,30,311759.41,9634.58006,67.279657,9567.300403,30.688088622569563
APE,692,83,655500.97,9731.40994,169.22250400000001,9562.187436,14.587602267011139
WIF,289,35,588175.4,8984.600779,60.095476,8924.505303,15.173203950726263
TURBO,83,6,183553.46,8540.129944,46.163856,8493.966088000001,46.275161950093455
MAVIA,298,13,345694.75,8257.300045,43.546591,8213.753454,23.76013362655927
OP,173,30,340426.57,8078.296967,43.161125,8035.135842000001,23.6031395610513
GOAT,104,15,376116.52,8142.94114,131.155022,8011.786118,21.301340653688914
AI16Z,540,48,631600.28,8024.352668,106.70966,7917.643008,12.535844676952962
PENDLE,1165,72,619760.27,7712.609738,148.46486,7564.144878,12.204952857013568
JTO,134,11,355918.02,7408.051171,104.719831,7303.33134,20.519700969341194
@142,1309,33,2486351.27,7450.359672,181.1329677428,7269.2267042572,2.923652338254361
AAVE,585,77,1100411.81,7485.007984,307.524146,7177.483838,6.522543444894507
GRIFFAIN,562,51,583690.79,7092.139995,82.510808,7009.6291870000005,12.009148177582176
FTM,89,10,464105.23,6916.166218,40.904411,6875.261807,14.814014931484397
FTT,1560,68,384755.3,6909.363767,95.193397,6814.17037,17.71040027258884
ZORA,152,2,340924.26,6816.51283,40.48243,6776.0304,19.875471461021867
RUNE,322,35,672350.38,6244.389123,93.611194,6150.777929,9.148173499953998
RENDER,234,20,231090.13,6100.258256,62.404672,6037.853584,26.127699975762702
INJ,158,28,347802.64,5919.778398,18.587856,5901.190542,16.96706655820669
ALT,249,12,452509.6,5870.702544,60.254412,5810.4481319999995,12.840496935313638
SPX,90,9,289426.51,5612.831099,35.788356,5577.042743,19.269287885895455
LTC,191,35,343217.55,5626.143524,76.977524,5549.166,16.16807182499846
@109,20,10,5670.66,5414.08414,4.339841,5409.744299,953.9884773553696
ILV,159,12,319713.52,5309.104755,49.230855,5259.8739,16.451834442284454
TNSR,693,60,415869.25,5106.264766,120.234159,4986.030607,11.989418806511903
PENGU,927,67,1012148.96,5217.341266,270.84249,4946.498776,4.887125286380773
CHILLGUY,215,36,266880.32,4727.794586,42.10151,4685.693076,17.55728214054899
VINE,811,13,676727.95,4777.252708,120.803947,4656.448761,6.880828198391983
ZETA,245,10,313968.58,4622.601501,6.366141,4616.23536,14.702857719074945
LINK,355,85,443972.69,4601.098394,120.091159,4481.007235,10.092979446551093
MEME,107,20,173898.29,4457.20042,20.248082,4436.952338,25.51464041423294
BLUR,78,15,175549.22,3353.129145,40.43442,3312.6947250000003,18.87046108777926
TST,165,6,490758.53,3357.994369,55.336389,3302.6579800000004,6.729700612641415
XRP,1774,101,5343210.53,3756.901464999999,701.847927,3055.053538,0.5717636467526575
