Direction,trades,volume_usd,gross_pnl,fees,net_pnl
Open Long,49895,380171434.91,0.0,76852.422514,-76852.422514
Close Long,48678,382213248.89,3622929.387547,78562.523455,3544366.864092
Open Short,39741,185484862.58,0.0,39967.944407,-39967.944407
Close Short,36013,179800893.6,3709800.104576,40252.3945,3669547.710076
Sell,19902,30108794.11,2906748.415633,6174.785305,2900573.630328
Buy,16716,31196797.04,0.0,3764.9820507308,-3764.9820507308
Spot Dust Conversion,142,25.53,0.0,0.0,0.0
Short > Long,70,1116262.24,10793.329053999998,162.085079,10631.243974999996
Long > Short,57,891922.1,1991.379008,120.58325500000001,1870.795753
Auto-Deleveraging,8,169507.75,57478.456026,0.0,57478.456026
Liquidated Isolated Short,1,32910.88,-12752.91304,0.0,-12752.91304
Settlement,1,782.83,-29.215368,0.0,-29.215368
