hour,trades,volume_usd,gross_pnl,fees,net_pnl
0,9856,75991720.07,425052.507901,16440.2700310295,408612.2378699705
1,10481,81311125.4,523198.62637,17197.935873298,506000.690496702
2,8181,62693163.74,279834.366301,13938.3672392206,265895.9990617794
3,10524,66070901.18,460020.571385,15617.0222161396,444403.5491688604
4,10015,60206043.24,487367.592886,13315.8190206906,474051.7738653094
5,9538,75672220.61,385913.303193,14799.4430209077,371113.8601720923
6,9057,40643066.99,298730.758694,8565.3647103357,290165.3939836643
7,8585,39759412.09,712784.325348,7997.8490846093,704786.4762633907
8,7848,41807499.91,462140.622931,8311.7837673186,453828.83916368143
9,6548,24540143.35,294525.282383,3617.7419214215,290907.5404615785
10,6745,14877407.86,413788.812966,2805.9129579281,410982.9000080719
11,6150,17436433.44,472707.466164,3519.6677880038,469187.7983759962
12,6950,21547514.87,911657.260379,3263.735897438,908393.524481562
13,8301,20108307.61,434825.879679,3839.5249496118,430986.3547293882
14,6840,21180584.86,158171.107001,4095.4576587369,154075.6493422631
15,7301,21535274.95,427562.29235,4028.0634987379,423534.2288512621
16,5865,26349971.48,246188.873549,6012.0075010347,240176.8660479653
17,6299,31914031.64,217196.36996,7311.682160331,209884.687799669
18,9641,54481685.69,433781.633348,12684.567463383,421097.065884617
19,12628,72960699.97,705423.686372,15436.0187913296,689987.6675806704
20,12731,66254249.18,632875.064876,14297.3704852999,618577.6943907001
21,11022,69296423.88,343553.581166,13969.383485739,329584.197680261
22,10096,100033205.14,381715.759771,15877.642700008,365838.117070992
23,10022,84516355.31,187943.19846299998,18915.088343178,169028.110119822
