month,trades,volume_usd,gross_pnl,fees,net_pnl
2023-05,3,477.0,0.0,0.0,0.0
2023-12,341,2868937.49,2016.006985,717.234195,1298.77279
2024-01,2200,20815547.32,-13085.935345,4946.136009,-18032.071354
2024-02,2596,14179893.72,49862.673142,1641.865665,48220.807477
2024-03,1611,7071136.05,124982.729691,368.935739,124613.79395199999
2024-04,1193,5546910.7,8038.587613,1765.298518,6273.289095
2024-05,1269,4186134.11,29331.044429999998,1437.814559,27893.229871
2024-06,2187,6015378.81,102983.985059,2265.48836,100718.496699
2024-07,2526,7907512.41,138562.395259,3344.730789,135217.66447
2024-08,1262,4348983.7299999995,-106817.230824,1913.30324638,-108730.53407038
2024-09,510,1338027.86,48235.750214,581.416756,47654.333458
2024-10,721,6766928.64,86263.921732,2332.158867,83931.762865
2024-11,6538,25550541.47,133430.028678,7300.19642345,126129.83225455
2024-12,29884,77269317.28,3005071.103082,12999.59943406,2992071.5036479402
2025-01,19817,71960997.94,767745.882314,19175.42283329,748570.45948071
2025-02,44130,147664146.28,2396979.033522,28186.08258922,2368792.95093278
2025-03,40848,195940764.93,2153250.96327,42159.2618147984,2111091.7014552015
2025-04,52358,581035566.2,1315571.175317,112070.1610895666,1203501.0142274334
2025-05,1230,10720240.52,54536.829297000004,2652.6136779658,51884.2156190342
